Storename,Product,Size/Weight,Unit Price,Sale Price,Saving
PAK'nSAVE Westgate,Mrs Rogers Naturals Eco Black Peppercorns,30g,$0.66/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Westgate,Mrs Rogers Naturals Eco Ground Cayenne Pepper,30g,$0.66/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Westgate,Mrs Rogers Naturals Eco Mixed Herbs,10g,$1.99/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Westgate,Mrs Rogers Naturals Eco Smoked Paprika,34g,$0.59/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Westgate,Mrs Rogers Naturals Eco Thyme,15g,$1.33/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Westgate,Mrs Rogers Naturals Eco Curry Powder,40g,$0.50/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Westgate,Mrs Rogers Naturals Eco Garam Masala,35g,$0.57/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Westgate,Mrs Rogers Naturals Eco Fennel Seeds,26g,$0.77/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Westgate,Mrs Rogers Naturals Eco Garlic Powder,40g,$0.50/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Westgate,Mrs Rogers Naturals Eco Ground Cinnamon,30g,$0.66/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Westgate,Mrs Rogers Naturals Eco Ground Paprika,40g,$0.50/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Westgate,Mrs Rogers Naturals Eco Italian Herbs,11g,$1.81/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Westgate,Mrs Rogers Naturals Eco Ground Cumin,40g,$0.50/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Westgate,Mrs Rogers Naturals Eco Turmeric,40g,$0.50/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Westgate,Mrs Rogers Naturals Eco Chilli Flakes,20g,$1.00/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Westgate,Mrs Rogers Naturals Eco Ground Ginger,30g,$0.66/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Westgate,Mrs Rogers Naturals Eco Ground Coriander,30g,$0.66/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Westgate,Mrs Rogers Naturals Eco Onion Powder Fine,40g,$0.50/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Westgate,Mrs Rogers Naturals Eco Oregano,10g,$1.99/10g,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Westgate,Eta Uppercuts Sweet Chilli Relish Potato Chips,140g,$1.42/100g,$1.99,$0.00
PAK'nSAVE Westgate,Shanghai Bok Choy,ea,,2 for $3.00 ($1.50 ea),$0.49 ea
PAK'nSAVE Westgate,Hellers Shaved Manuka Smoked Ham,100g,$19.90/1kg,$1.99,$0.00
PAK'nSAVE Westgate,Braeburn Apples,kg,$1.99/1kg,$1.99,$0.00
PAK'nSAVE Westgate,NZ Celery,ea,,$2.00,$0.00
PAK'nSAVE Westgate,Morinaga Hi-Chew Grape & Strawberry Fruit Mix,100g,$2.19/100g,$2.19,$0.00
PAK'nSAVE Westgate,Morinaga Hi-Chew Grape Peach & Lychee Mix,100g,$2.19/100g,$2.19,$0.00
PAK'nSAVE Westgate,Morinaga Hi-Chew Fruit Combos,85g,$2.58/100g,$2.19,$0.00
PAK'nSAVE Westgate,Morinaga Hi-Chew Tropical Mix,100g,$2.19/100g,$2.19,$0.00
PAK'nSAVE Westgate,Morinaga Hi-Chew Sweet & Sour Mix,90g,$2.43/100g,$2.19,$0.00
PAK'nSAVE Westgate,Morinaga Hi-Chew Original Mix,100g,$2.19/100g,$2.19,$0.00
PAK'nSAVE Westgate,New Zealand Apple Products Dried New Zealand Apple Chips,30g,$76.33/1kg,$2.29,$0.00
PAK'nSAVE Westgate,Diamond Spaghetti Pasta,500g,$0.46/100g,$2.29,$0.00
PAK'nSAVE Westgate,Diamond Fettuccine Pasta,500g,$0.46/100g,$2.29,$0.00
PAK'nSAVE Westgate,Diamond Spirals Pasta,500g,$0.46/100g,$2.29,$0.00
PAK'nSAVE Westgate,Diamond Penne Pasta,500g,$0.46/100g,$2.29,$0.00
PAK'nSAVE Westgate,Diamond Macaroni Pasta,500g,$0.46/100g,$2.29,$0.00
PAK'nSAVE Westgate,Diamond Lasagna Pasta,375g,$0.61/100g,$2.29,$0.00
PAK'nSAVE Westgate,Diamond Angel Hair Pasta,500g,$0.46/100g,$2.29,$0.00
PAK'nSAVE Westgate,Diamond Boccoli Pasta,500g,$0.46/100g,$2.29,$0.00
PAK'nSAVE Westgate,Diamond Vegetable Spirals Pasta,450g,$0.51/100g,$2.29,$0.00
PAK'nSAVE Westgate,Diamond Seashells Pasta,500g,$0.46/100g,$2.29,$0.00
PAK'nSAVE Westgate,Diamond Wholemeal Spaghetti Pasta,500g,$0.46/100g,$2.29,$0.00
PAK'nSAVE Westgate,Diamond Bow Ties,500g,$0.46/100g,$2.29,$0.00
PAK'nSAVE Westgate,Diamond Orzo,500g,$0.46/100g,$2.29,$0.00
PAK'nSAVE Westgate,Diamond Wholemeal Penne Pasta,500g,$0.46/100g,$2.29,$0.00
PAK'nSAVE Westgate,Wattie's Peppa Pig Shapes In Tomato Sauce Pasta Meals,300g,$0.76/100g,3 for $5.00 ($1.67 ea),$0.62 ea
PAK'nSAVE Westgate,Farrah's Taco Mild Spice Mix,35g,$6.54/100g,$2.29,$0.00
PAK'nSAVE Westgate,Every Time Original Rice Nibbles,120g,$1.91/100g,$2.29,$0.00
PAK'nSAVE Westgate,Every Time Tangy BBQ Rice Nibbles,18pk,$1.99/100g,$2.29,$0.00
PAK'nSAVE Westgate,Farrah's Nacho Mild Spice Mix,40g,$5.73/100g,$2.29,$0.00
