Storename,Product,Size/Weight,Unit Price,Sale Price,Saving
PAK'nSAVE Mt Albert,Wattie's Peppa Pig Shapes In Tomato Sauce Pasta Meals,300g,$0.76/100g,3 for $5.00 ($1.67 ea),$0.62 ea
PAK'nSAVE Mt Albert,Wattie's Minion Shapes In Tomato Sauce Pasta Meals,300g,$0.76/100g,3 for $5.00 ($1.67 ea),$0.62 ea
PAK'nSAVE Mt Albert,Farrah's Taco Mild Spice Mix,35g,$6.54/100g,$2.29,$0.00
PAK'nSAVE Mt Albert,Every Time Original Rice Nibbles,120g,$1.91/100g,$2.29,$0.00
PAK'nSAVE Mt Albert,Every Time Tangy BBQ Rice Nibbles,18pk,$1.99/100g,$2.29,$0.00
PAK'nSAVE Mt Albert,Farrah's Nacho Mild Spice Mix,40g,$5.73/100g,$2.29,$0.00
PAK'nSAVE Mt Albert,Farrah's Crispy Chicken Mild Spice Mix,60g,$3.82/100g,$2.29,$0.00
PAK'nSAVE Mt Albert,Farrah's Smoky Chipotle Spice Mix,40g,$5.73/100g,$2.29,$0.00
PAK'nSAVE Mt Albert,Beehive Sweet & Smokey Champagne Shaved Ham,100g,$23.90/1kg,$2.39,$0.00
PAK'nSAVE Mt Albert,Sour Patch Kids Berry Flavoured Sweets,190g,$1.26/100g,$2.39,$0.00
PAK'nSAVE Mt Albert,Ceres Organics Organic Whole Peeled Tomatoes,400g,$5.98/1kg,$2.39,$0.00
PAK'nSAVE Mt Albert,Ceres Organics Organic Chopped Tomatoes,400g,$5.98/1kg,$2.39,$0.00
PAK'nSAVE Mt Albert,Ceres Organics Mixed Beans,400g,$5.98/1kg,$2.39,$0.00
PAK'nSAVE Mt Albert,Doritos Cheese Supreme Corn Chips,170g,$1.41/100g,$2.39,$0.00
PAK'nSAVE Mt Albert,Doritos Thai Sweet Chilli Corn Chips,170g,$1.41/100g,$2.39,$0.00
